BB ID 1,BB ID 2,AB,BA
1161,109329,99976,6334
1161,109330,56157,5318
1161,109332,60315,11900
1161,109333,71630,30003
1161,109334,80240,67724
1161,109335,97493,68973
1161,109336,98104,70733
1161,109338,92579,69000
1161,109341,92049,60954
1161,109337,100639,64471
1161,109342,95288,61575
1161,109344,81969,61742
1161,109339,92854,65353
1161,109345,85042,60785
1161,109346,85434,59554
1161,109347,77225,60322
1161,109340,91177,64470
1161,109348,95669,63279
1161,109349,88480,60663
1161,109343,88835,60400
1161,109331,33236,8025
1161,109350,24373,1624
1162,109329,103836,43579
1162,109330,81816,47571
1162,109332,81624,57155
1162,109333,82243,62204
1162,109334,71203,42498
1162,109335,82578,20602
1162,109336,83222,23564
1162,109338,74830,22812
1162,109341,73720,11389
1162,109337,87125,13525
1162,109342,79001,11669
1162,109344,61390,14250
1162,109339,74700,16345
1162,109345,65064,12236
1162,109346,65671,11103
1162,109347,56498,14092
1162,109340,72512,16450
1162,109348,79560,13716
1162,109349,68924,11844
1162,109343,69601,10555
1162,109331,64353,38107
1162,109350,65576,28053
1164,109329,104653,58776
1164,109330,85089,61214
1164,109332,84446,69856
1164,109333,82131,65281
1164,109334,67260,33042
1164,109335,77453,8887
1164,109336,78152,12154
1164,109338,68129,11450
1164,109341,67295,3990
1164,109337,83038,5259
1164,109342,73028,4179
1164,109344,53302,5612
1164,109339,68282,6761
1164,109345,57405,4243
1164,109346,58241,3789
1164,109347,46212,4550
1164,109340,65419,6173
1164,109348,73410,5038
1164,109349,61906,4106
1164,109343,63288,3896
1164,109331,68018,53461
1164,109350,69443,42794
1165,109329,105431,73437
1165,109330,88644,75517
1165,109332,87148,81748
1165,109333,82516,71357
1165,109334,63119,27076
1165,109335,70261,3452
1165,109336,70443,4360
1165,109338,58900,3645
1165,109341,58584,1249
1165,109337,76514,1820
1165,109342,65345,1393
1165,109344,39359,1390
1165,109339,59290,2006
1165,109345,45547,1002
1165,109346,47070,1156
1165,109347,29859,893
1165,109340,55581,1705
1165,109348,65452,1711
1165,109349,51525,1125
1165,109343,54442,1357
1165,109331,71026,65031
1165,109350,74521,58040
1167,109329,105199,69055
1167,109330,87653,71424
1167,109332,86347,78616
1167,109333,82130,68783
1167,109334,63118,25276
1167,109335,71753,4117
1167,109336,72100,5334
1167,109338,61291,4744
1167,109341,60365,1471
1167,109337,77974,2177
1167,109342,66735,1594
1167,109344,43410,1967
1167,109339,61543,2609
1167,109345,48379,1341
1167,109346,49449,1343
1167,109347,34667,1340
1167,109340,58127,2284
1167,109348,67103,2039
1167,109349,53885,1533
1167,109343,55878,1464
1167,109331,69934,61584
1167,109350,72787,53411
1169,109329,105231,73072
1169,109330,87726,76238
1169,109332,87137,85191
1169,109333,83262,79166
1169,109334,63647,35719
1169,109335,69451,4273
1169,109336,69493,5284
1169,109338,57939,4680
1169,109341,56910,1409
1169,109337,75228,2027
1169,109342,63628,1543
1169,109344,37716,1712
1169,109339,57682,2346
1169,109345,43832,1266
1169,109346,45116,1318
1169,109347,29734,1481
1169,109340,54030,2024
1169,109348,63407,1780
1169,109349,49339,1247
1169,109343,52476,1499
1169,109331,71200,70218
1169,109350,72361,57768
1171,109329,104673,60191
1171,109330,85018,63504
1171,109332,84329,72108
1171,109333,81944,68057
1171,109334,65419,31580
1171,109335,74340,6450
1171,109336,75857,10127
1171,109338,66607,11349
1171,109341,64392,3042
1171,109337,80873,4032
1171,109342,70183,3189
1171,109344,52584,6736
1171,109339,66491,6369
1171,109345,54343,3533
1171,109346,54677,2876
1171,109347,45271,5734
1171,109340,63505,5765
1171,109348,70744,3999
1171,109349,59129,3307
1171,109343,59964,2787
